iter	F1	Logloss
0	0.5547619048	0.6496479789
1	0.5400129005	0.6109865768
2	0.5485062101	0.5770434199
3	0.5491088358	0.5482063907
4	0.5637240754	0.5222813329
5	0.5579517069	0.5000165757
6	0.5602024728	0.4808254508
7	0.557222639	0.4640970958
8	0.5574659878	0.4496927047
9	0.5587122	0.4366725607
10	0.5592275035	0.4255754026
11	0.5723941368	0.4162878492
12	0.5761006289	0.4082238447
13	0.5780800842	0.400649773
14	0.5762532982	0.3939119552
15	0.576687614	0.3875724549
16	0.5829578371	0.3822481076
17	0.5785919366	0.3780648252
18	0.5822815436	0.3740307204
19	0.582520358	0.3704235975
20	0.58350798	0.3669647028
21	0.584222607	0.3640630453
22	0.5832258065	0.361792873
23	0.5830979094	0.3593941206
24	0.5833803953	0.3571037446
25	0.5821094793	0.3549828432
26	0.5825344821	0.3531832315
27	0.5842052111	0.3514535994
28	0.5844700944	0.3498605167
29	0.5875796817	0.3485237069
30	0.5859000684	0.3474786947
31	0.5836036328	0.3465662306
32	0.5824327618	0.346084657
33	0.5852022467	0.3449304914
34	0.5842314237	0.3443115374
35	0.5856322304	0.3432115926
36	0.5862570736	0.3426561954
37	0.5872618663	0.3418538991
38	0.5884961103	0.3410473338
39	0.5896000322	0.3403397875
40	0.5900108665	0.3396891613
41	0.5906823302	0.3391405252
42	0.5916047399	0.338554216
43	0.5911322121	0.3380967035
44	0.5914484534	0.3376062053
45	0.5916445303	0.3371128204
46	0.5912294125	0.3366264247
47	0.5924942681	0.3361624635
48	0.5926283599	0.3358166105
49	0.5932210205	0.3354426852
50	0.5935152075	0.3351495942
51	0.5948158254	0.3347229501
52	0.5950088268	0.3344659259
53	0.5947964346	0.3342024103
54	0.5954186224	0.333936699
55	0.5961607823	0.3334954542
56	0.5967231503	0.3331782109
57	0.5975087115	0.3328813777
58	0.5977443609	0.3324533534
59	0.5980725397	0.3322139148
60	0.5982160714	0.3320301718
61	0.5986084453	0.3317706993
62	0.5990647108	0.3315173349
63	0.5993768973	0.3312583078
64	0.5998882146	0.3310486956
65	0.6002713271	0.3307923466
66	0.6002712189	0.33057088
67	0.6005265677	0.3304216643
68	0.6013316853	0.3302341316
69	0.6015540944	0.3300484348
70	0.6017452285	0.3298545865
71	0.6023568755	0.3296487097
72	0.6025064651	0.3294899975
73	0.6028563472	0.329305678
74	0.6030078778	0.3291429353
75	0.6030710478	0.3290040935
76	0.602991487	0.3288496475
77	0.6033577339	0.3287001913
78	0.6031910238	0.3286178434
79	0.6033515106	0.328514431
80	0.6033097303	0.3283972434
81	0.6034928591	0.3282230919
82	0.6041410007	0.3280299333
83	0.6043554284	0.3279121808
84	0.6054543289	0.3277520202
85	0.6056231907	0.3275980441
86	0.6065599746	0.327439276
87	0.6069675376	0.3272606409
88	0.60718103	0.3271246206
89	0.6073563765	0.3270119133
90	0.607490696	0.326931431
91	0.6075909289	0.3268532142
92	0.6079696094	0.3267789719
93	0.6082829002	0.3266525934
94	0.6086097166	0.3265260571
95	0.6086268928	0.3264375224
96	0.6087369045	0.3263409949
97	0.60871284	0.326263561
98	0.6090427634	0.3262007785
99	0.6090941414	0.3260956506
100	0.6096020215	0.3259305887
101	0.6103727076	0.3257509948
102	0.6106906339	0.3256794658
103	0.6106117944	0.325590253
104	0.6108001577	0.3255212629
105	0.6109403326	0.3254691971
106	0.6109228466	0.325402993
107	0.6113671275	0.3253050764
108	0.6114544381	0.3252074662
109	0.6116971033	0.3251608394
110	0.611745257	0.325088002
111	0.6121581743	0.325032154
112	0.6122561359	0.3249651405
113	0.6125353885	0.3248779038
114	0.6125417731	0.3248060131
115	0.6128943543	0.3247307146
116	0.6131782641	0.3246681459
117	0.6132631414	0.3246054972
118	0.613650644	0.3245474258
119	0.6137478899	0.3244619592
120	0.6138691574	0.3243865056
121	0.6135623799	0.3242898136
122	0.6140027456	0.3241739357
123	0.6145102497	0.3240843388
124	0.6147454239	0.3239872502
125	0.6147515285	0.3239347242
126	0.6148180073	0.3238209306
127	0.6151315789	0.3237330287
128	0.6151918559	0.3236915679
129	0.6153846154	0.323647209
130	0.6153063222	0.3236146749
131	0.6157278741	0.3235549
132	0.6159264332	0.3234894179
133	0.6159805916	0.323479857
134	0.6158119157	0.3234550461
135	0.6158841941	0.3234032055
136	0.6158240726	0.323321282
137	0.6157999765	0.3232561071
138	0.6157758823	0.3232402555
139	0.6158121331	0.3231885338
140	0.6158481706	0.3231366279
141	0.6160347459	0.3230649318
142	0.6161548993	0.3230003384
143	0.6163772877	0.3229787662
144	0.6161185625	0.3229562011
145	0.6163290842	0.3229517177
146	0.6159743409	0.3228853213
147	0.6160284742	0.3228421392
148	0.616244965	0.3227954708
149	0.616112632	0.3227443871
150	0.6160881801	0.3226821398
151	0.6165207877	0.3226220759
152	0.6169764173	0.3225413078
153	0.6171923798	0.3225178428
154	0.617324433	0.3224740303
155	0.6173784058	0.3224688208
156	0.6173543074	0.3224383569
157	0.6174439024	0.3224155011
