iter	Passed	Remaining
0	60	60043
1	118	59283
2	189	62901
3	252	62941
4	313	62332
5	378	62775
6	443	62876
7	505	62736
8	570	62815
9	631	62529
10	695	62501
11	761	62723
12	821	62386
13	888	62604
14	944	62016
15	1005	61864
16	1068	61803
17	1130	61649
18	1197	61841
19	1257	61624
20	1322	61668
21	1382	61451
22	1445	61419
23	1508	61353
24	1571	61295
25	1631	61118
26	1695	61102
27	1749	60717
28	1809	60588
29	1870	60491
30	1931	60376
31	1994	60333
32	2027	59399
33	2089	59354
34	2155	59441
35	2219	59445
36	2258	58774
37	2309	58455
38	2369	58379
39	2426	58241
40	2480	58019
41	2533	57791
42	2595	57766
43	2652	57621
44	2706	57448
45	2767	57391
46	2823	57257
47	2883	57186
48	2943	57130
49	3003	57065
50	3061	56971
51	3119	56878
52	3177	56769
53	3242	56799
54	3315	56967
55	3371	56834
56	3429	56729
57	3483	56570
58	3540	56466
59	3600	56412
60	3658	56320
61	3716	56221
62	3780	56231
63	3847	56271
64	3903	56150
65	3958	56017
66	4021	56005
67	4078	55906
68	4136	55806
69	4193	55712
70	4253	55658
71	4308	55534
72	4368	55471
73	4423	55357
74	4485	55323
75	4544	55254
76	4599	55139
77	4656	55043
78	4713	54945
79	4770	54865
80	4828	54784
81	4884	54677
82	4957	54772
83	5037	54932
84	5095	54848
85	5155	54792
86	5211	54694
87	5270	54625
88	5325	54514
89	5384	54447
90	5450	54449
91	5505	54340
92	5565	54278
93	5624	54206
94	5682	54130
95	5738	54038
96	5797	53966
97	5856	53905
98	5907	53762
99	5968	53719
100	6031	53685
101	6086	53582
102	6143	53501
103	6200	53419
104	6268	53427
105	6332	53403
106	6395	53378
107	6452	53296
108	6507	53192
109	6567	53135
110	6641	53189
111	6701	53134
112	6759	53060
113	6821	53018
114	6883	52971
115	6937	52872
116	6990	52757
117	7058	52759
118	7123	52734
119	7184	52687
120	7239	52592
121	7304	52571
122	7369	52545
123	7435	52529
124	7503	52524
125	7562	52459
126	7624	52407
127	7707	52504
128	7771	52469
129	7830	52406
130	7889	52334
131	7947	52257
132	8012	52234
133	8039	51957
134	8100	51902
135	8158	51829
136	8217	51764
137	8283	51739
138	8336	51635
139	8397	51586
140	8452	51493
141	8512	51432
142	8570	51365
143	8631	51310
144	8690	51242
145	8717	50990
146	8783	50969
147	8847	50934
148	8910	50894
149	8975	50858
150	9035	50799
151	9091	50720
152	9156	50688
153	9212	50610
154	9268	50528
155	9306	50351
156	9364	50282
157	9426	50234
158	9487	50180
159	9547	50125
160	9599	50025
161	9657	49955
162	9716	49892
163	9770	49804
164	9828	49736
165	9885	49667
166	9949	49629
167	10009	49572
168	10074	49539
169	10133	49473
170	10190	49404
171	10247	49330
172	10307	49274
173	10369	49227
174	10436	49202
175	10491	49119
176	10553	49071
177	10610	48998
178	10672	48951
179	10733	48895
180	10790	48826
181	10854	48784
182	10911	48712
183	10964	48624
184	11024	48568
185	11088	48526
186	11151	48483
187	11209	48417
188	11270	48360
189	11329	48298
190	11405	48307
191	11464	48247
192	11516	48155
193	11576	48095
194	11641	48060
195	11699	47992
196	11759	47933
197	11820	47878
198	11880	47822
199	11935	47742
200	11991	47668
201	12046	47590
202	12098	47500
203	12161	47454
204	12224	47406
205	12283	47346
206	12343	47286
207	12398	47208
208	12457	47145
209	12517	47091
210	12568	46996
211	12626	46931
212	12659	46773
213	12719	46718
214	12780	46664
215	12842	46614
216	12901	46551
217	12963	46502
218	13014	46411
219	13070	46339
220	13127	46274
221	13185	46208
222	13246	46154
223	13301	46081
224	13356	46006
225	13423	45973
226	13484	45917
227	13540	45846
228	13597	45778
229	13657	45722
230	13720	45675
231	13781	45622
232	13839	45558
233	13897	45492
234	13951	45414
235	14008	45350
236	14064	45279
237	14116	45197
238	14184	45165
239	14238	45088
240	14295	45021
241	14345	44934
242	14405	44877
243	14466	44821
244	14528	44771
245	14590	44718
246	14646	44650
247	14701	44579
248	14756	44506
249	14815	44447
250	14868	44368
251	14929	44313
252	14984	44243
253	15051	44206
254	15113	44155
255	15165	44075
256	15225	44017
257	15285	43961
258	15341	43891
259	15398	43827
260	15465	43789
261	15528	43739
262	15584	43671
263	15640	43604
264	15694	43531
265	15752	43467
266	15811	43408
267	15865	43333
268	15924	43273
269	15977	43197
270	16039	43147
271	16100	43091
272	16160	43036
273	16221	42980
274	16281	42924
275	16339	42862
276	16395	42794
277	16455	42736
278	16507	42659
279	16567	42602
280	16620	42526
281	16679	42467
282	16739	42411
283	16805	42368
284	16866	42314
285	16929	42264
286	16991	42212
287	17053	42160
288	17117	42112
289	17165	42025
290	17223	41964
291	17287	41916
292	17352	41870
293	17416	41824
294	17478	41771
295	17537	41710
296	17603	41666
297	17656	41592
298	17709	41520
299	17763	41448
300	17837	41423
301	17906	41386
302	17959	41311
303	18020	41257
304	18083	41206
305	18140	41142
306	18195	41073
307	18254	41013
308	18316	40959
309	18373	40896
310	18435	40842
311	18496	40787
312	18560	40738
313	18625	40690
314	18683	40630
315	18745	40576
316	18802	40510
317	18865	40460
318	18928	40409
319	18986	40346
320	19040	40274
321	19101	40220
322	19160	40159
323	19230	40123
324	19300	40086
325	19364	40034
326	19437	40005
327	19504	39960
328	19558	39889
329	19610	39814
330	19672	39760
331	19733	39704
332	19789	39639
333	19842	39565
334	19903	39510
335	19961	39448
336	20021	39389
337	20085	39339
338	20150	39291
339	20215	39241
340	20282	39196
341	20334	39122
342	20394	39065
343	20448	38994
344	20516	38951
345	20580	38900
346	20636	38833
347	20696	38776
348	20753	38711
349	20815	38656
350	20881	38609
351	20942	38552
352	21003	38496
353	21062	38435
354	21122	38377
355	21185	38323
356	21244	38263
357	21301	38200
358	21361	38141
359	21419	38079
360	21480	38021
361	21544	37970
362	21607	37917
363	21664	37854
364	21727	37800
365	21792	37749
366	21851	37689
367	21909	37627
368	21963	37558
369	22020	37493
370	22082	37438
371	22141	37379
372	22205	37327
373	22266	37270
374	22324	37207
375	22383	37146
376	22443	37088
377	22505	37032
378	22565	36973
379	22619	36906
380	22675	36839
381	22737	36785
382	22800	36731
383	22866	36681
384	22922	36616
385	22982	36558
386	23047	36507
387	23114	36458
388	23201	36442
389	23271	36398
390	23328	36334
391	23391	36280
392	23448	36217
393	23509	36159
394	23574	36107
395	23630	36042
396	23689	35982
397	23760	35939
398	23823	35884
399	23885	35828
400	23946	35769
401	24001	35703
402	24061	35644
403	24123	35587
404	24185	35531
405	24248	35476
406	24307	35416
407	24370	35361
408	24429	35299
409	24493	35246
410	24558	35195
411	24612	35126
412	24673	35069
413	24728	35002
414	24782	34934
415	24835	34865
416	24900	34812
417	24960	34753
418	25022	34697
419	25085	34641
420	25144	34581
421	25204	34521
422	25265	34463
423	25322	34400
424	25380	34338
425	25443	34282
426	25496	34213
427	25558	34157
428	25621	34102
429	25679	34039
430	25736	33976
431	25794	33914
432	25849	33849
433	25902	33780
434	25960	33718
435	26019	33658
436	26079	33598
437	26143	33544
438	26201	33482
439	26258	33419
440	26321	33364
441	26380	33303
442	26431	33233
443	26492	33174
444	26549	33112
445	26610	33054
446	26667	32991
447	26724	32928
448	26780	32864
449	26838	32802
450	26898	32743
451	26961	32687
452	27019	32626
453	27076	32563
454	27142	32511
455	27199	32448
456	27257	32387
457	27317	32327
458	27382	32274
459	27443	32216
460	27510	32165
461	27575	32112
462	27632	32049
463	27692	31989
464	27754	31932
465	27815	31874
466	27875	31815
467	27955	31778
468	28032	31738
469	28097	31684
470	28175	31644
471	28235	31585
472	28296	31527
473	28355	31465
474	28412	31403
475	28468	31338
476	28529	31280
477	28595	31227
478	28653	31165
479	28708	31101
480	28771	31044
481	28828	30981
482	28890	30924
483	28951	30865
484	29012	30807
485	29074	30749
486	29134	30690
487	29193	30629
488	29250	30566
489	29313	30509
490	29374	30450
491	29429	30386
492	29489	30326
493	29547	30265
494	29614	30212
495	29671	30150
496	29732	30091
497	29792	30031
498	29859	29979
499	29922	29922
500	29984	29864
501	30047	29808
502	30103	29744
503	30166	29687
504	30220	29622
505	30276	29558
506	30335	29497
507	30393	29436
508	30451	29374
509	30513	29316
510	30573	29257
511	30642	29206
512	30702	29146
513	30764	29088
514	30827	29031
515	30889	28973
516	30943	28908
517	30998	28844
518	31050	28777
519	31110	28717
520	31168	28656
521	31232	28599
522	31288	28536
523	31345	28474
524	31405	28414
525	31471	28360
526	31532	28301
527	31592	28242
528	31654	28183
529	31719	28128
530	31777	28067
531	31840	28009
532	31901	27951
533	31957	27887
534	32018	27829
535	32072	27764
536	32149	27719
537	32219	27667
538	32275	27604
539	32333	27543
540	32390	27481
541	32448	27419
542	32506	27358
543	32562	27295
544	32625	27237
545	32683	27176
546	32739	27113
547	32799	27053
548	32864	26998
549	32924	26937
550	32979	26874
551	33038	26813
552	33095	26751
553	33155	26692
554	33220	26635
555	33276	26573
556	33334	26511
557	33394	26452
558	33447	26386
559	33506	26326
560	33563	26264
561	33623	26204
562	33690	26150
563	33747	26088
564	33806	26027
565	33865	25967
566	33924	25907
567	33984	25847
568	34045	25788
569	34104	25728
570	34159	25664
571	34221	25606
572	34282	25547
573	34342	25487
574	34405	25430
575	34466	25371
576	34526	25311
577	34586	25251
578	34640	25187
579	34709	25134
580	34774	25078
581	34837	25020
582	34901	24963
583	34962	24904
584	35023	24845
585	35084	24786
586	35142	24725
587	35198	24663
588	35261	24605
589	35321	24545
590	35382	24486
591	35439	24424
592	35501	24366
593	35569	24311
594	35628	24251
595	35692	24194
596	35754	24135
597	35816	24077
598	35882	24021
599	35945	23963
600	36005	23903
601	36062	23842
602	36127	23785
603	36193	23729
604	36247	23665
605	36308	23606
606	36367	23545
